Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
-48.0	6.120	0.85888	
-47.0	6.368	0.85888	
-46.0	6.629	0.85856	
-45.0	6.901	0.85888	
-44.0	7.188	0.85856	
-43.0	7.500	0.85888	
-42.0	7.820	0.85888	
-41.0	8.166	0.85888	
-40.0	8.531	0.85888	
-39.0	8.917	0.85888	
-38.0	9.322	0.85888	
-37.0	9.759	0.85888	
-36.0	10.215	0.85888	
-35.0	10.702	0.85888	
-34.0	11.219	0.85856	
-33.0	11.768	0.85888	
-32.0	12.346	0.85888	
-31.0	12.961	0.85888	
-30.0	13.619	0.85888	
-29.9	13.683		
-29.8	13.753		
-29.7	13.819		
-29.6	13.889		
-29.5	13.955		
-29.4	14.024		
-29.3	14.096		
-29.2	14.166		
-29.1	14.235		
-29.0	14.307	0.85888	
-28.9	14.376		
-28.8	14.448		
-28.7	14.520		
-28.6	14.592		
-28.5	14.664		
-28.4	14.738		
-28.3	14.810		
-28.2	14.882		
-28.1	14.959		
-28.0	15.034	0.85888	
-27.9	15.109		
-27.8	15.186		
-27.7	15.263		
-27.6	15.340		
-27.5	15.418		
-27.4	15.495		
-27.3	15.572		
-27.2	15.649		
-27.1	15.729		
-27.0	15.809	0.85888	
-26.9	15.887		
-26.8	15.964		
-26.7	16.044		
-26.6	16.129		
-26.5	16.209		
-26.4	16.286		
-26.3	16.371		
-26.2	16.454		
-26.1	16.537		
-26.0	16.617	0.85888	
-25.9	16.702		
-25.8	16.787		
-25.7	16.872		
-25.6	16.960		
-25.5	17.048		
-25.4	17.133		
-25.3	17.219		
-25.2	17.304		
-25.1	17.394		
-25.0	17.482	0.85888	
-24.9	17.570		
-24.8	17.658		
-24.7	17.749		
-24.6	17.837		
-24.5	17.927		
-24.4	18.018		
-24.3	18.111		
-24.2	18.202		
-24.1	18.292		
-24.0	18.383	0.85920	
-23.9	18.479		
-23.8	18.572		
-23.7	18.665		
-23.6	18.761		
-23.5	18.857		
-23.4	18.953		
-23.3	19.049		
-23.2	19.145		
-23.1	19.241		
-23.0	19.339	0.85888	
-22.9	19.435		
-22.8	19.531		
-22.7	19.632		
-22.6	19.731		
-22.5	19.832		
-22.4	19.928		
-22.3	20.029		
-22.2	20.130		
-22.1	20.234		
-22.0	20.336	0.85888	
-21.9	20.442		
-21.8	20.546		
-21.7	20.650		
-21.6	20.751		
-21.5	20.858		
-21.4	20.962		
-21.3	21.068		
-21.2	21.175		
-21.1	21.279		
-21.0	21.383	0.85888	
-20.9	21.489		
-20.8	21.596		
-20.7	21.705		
-20.6	21.814		
-20.5	21.921		
-20.4	22.030		
-20.3	22.139		
-20.2	22.248		
-20.1	22.363		
-20.0	22.472	0.85888	
-19.9	22.587		
-19.8	22.699		
-19.7	22.810		
-19.6	22.925		
-19.5	23.040		
-19.4	23.151		
-19.3	23.269		
-19.2	23.383		
-19.1	23.500		
-19.0	23.615	0.85888	
-18.9	23.732		
-18.8	23.847		
-18.7	23.964		
-18.6	24.079		
-18.5	24.196		
-18.4	24.316		
-18.3	24.433		
-18.2	24.553		
-18.1	24.673		
-18.0	24.793	0.85888	
-17.9	24.912		
-17.8	25.032		
-17.7	25.155		
-17.6	25.275		
-17.5	25.397		
-17.4	25.517		
-17.3	25.640		
